bulan,cabang_olahraga,event_olahraga,nomor_pertandingan,nama_peraih_medali,medali,jumlah
7,Atletik,Kejuaraan AtletikJateng Open 2018,Lempar Lembing,Nadira Napisatul,perunggu,0
8,Atletik,Asian Games  XVII/2018,100 meter Lari Gawang,Emilia Nova,perunggu,0
8,Atletik,Asian Games  XVII/2018,Beregu 4x100 meter,Bayu Kertanegara,perunggu,0
10,Atletik,Kejuaraan AtletikOpen 2018,Various,Atlet AtletikPelatda DKI,perunggu,0
5,Atletik,Kejurnas Antar PPLP/D 2018,4x400 meter Estafet,Liza Putri,emas,
5,Atletik,Kejurnas Antar PPLP/D 2018,4x400 meter Estafet,Liza Putri,perak,
5,Atletik,Kejurnas Antar PPLP/D 2018,4x400 meter Estafet,Liza Putri,perunggu,
11,Atletik,Kejuaraan AtletikBulanan 2018,Various,Various,emas,280
11,Atletik,Kejuaraan AtletikBulanan 2018,Various,Various,perak,280
11,Atletik,Kejuaraan AtletikBulanan 2018,Various,Various,perunggu,280
12,Bola Basket,Hatcher Holiday Hoops Invitational Open 2018,Beregu Putri ,Atlet Bola Basket Pelatda DKI,perak,1
12,Bola Basket,Hatcher Holiday Hoops Invitational Open 2018,Beregu Putri ,Atlet Bola Basket Pelatda DKI,emas,0
12,Bola Basket,Hatcher Holiday Hoops Invitational Open 2018,Beregu Putri ,Atlet Bola Basket Pelatda DKI,perunggu,0
10,Bola Voli,Invitasi Voli Piala Gubernur 2018,Various,Various,emas,28
10,Bola Voli,Invitasi Voli Piala Gubernur 2018,Various,Various,perak,28
10,Bola Voli,Invitasi Voli Piala Gubernur 2018,Various,Various,perunggu,28
9,Bola Voli,Bola Voli Piala Gubernur 2018,Beregu,Atlet Bola Voli PPOP,emas,2
9,Bola Voli,Bola Voli Piala Gubernur 2018,Beregu,Atlet Bola Voli PPOP,perak,2
9,Bola Voli,Bola Voli Piala Gubernur 2018,Beregu,Atlet Bola Voli PPOP,perunggu,2
8,Bola Voli,Kejurnas Antar PPLP/D 2018,Beregu Putri,Atlet Bola Voli PPOP,emas,1
7,Bola Voli,Asian School Games,Beregu Putra,Atlet Bola Voli PPOP,perak,1
8,Bola Voli,21th Thailand School Games,Beregu Putra,Atlet Bola Voli PPOP,perak,1
7,Bola Voli,Asian School Games,Beregu Putra,Atlet Bola Voli PPOP,emas,0
8,Bola Voli,21th Thailand School Games,Beregu Putra,Atlet Bola Voli PPOP,emas,0
8,Bola Voli,Kejurnas Antar PPLP/D 2018,Beregu Putri,Atlet Bola Voli PPOP,perak,0
7,Bola Voli,Asian School Games,Beregu Putra,Atlet Bola Voli PPOP,perunggu,0
8,Bola Voli,21th Thailand School Games,Beregu Putra,Atlet Bola Voli PPOP,perunggu,0
8,Bola Voli,Kejurnas Antar PPLP/D 2018,Beregu Putri,Atlet Bola Voli PPOP,perunggu,0
11,Bulutangkis,Badminton Sister City Championship 2018,Various,Atlet Bulutangkis PPOP DKI,emas,10
11,Bulutangkis,Badminton Sister City Championship 2018,Various,Atlet Bulutangkis PPOP DKI,perak,10
11,Bulutangkis,Badminton Sister City Championship 2018,Various,Atlet Bulutangkis PPOP DKI,perunggu,10
1,Bulutangkis,Daihatsu Indonesia Masters 2018,Ganda Putra,Marcus Fernaldi Gideon,emas,1
