kota/kabupaten,kecamatan,jenis_fasilitas_olahraga,jumlah
Jakarta Utara,Pademangan,Golf,0
Jakarta Utara,Penjaringan,Golf,0
Jakarta Selatan,Cilandak,kolam renang,0
Jakarta Selatan,Jagakarsa,kolam renang,0
Jakarta Selatan,Kebayoran Baru,kolam renang,1
Jakarta Selatan,Kebayoran Lama,kolam renang,1
Jakarta Selatan,Mampang Prapatan,kolam renang,0
Jakarta Selatan,Pancoran,kolam renang,3
Jakarta Selatan,Pasar Minggu,kolam renang,3
Jakarta Selatan,Pesanggrahan,kolam renang,0
Jakarta Selatan,Setiabudi,kolam renang,1
Jakarta Selatan,Tebet,kolam renang,1
Jakarta Timur,UP GJRT,kolam renang,1
Jakarta Timur,Fasilitas GOR Otista,kolam renang,0
Jakarta Timur,Duren Sawit,kolam renang,0
Jakarta Timur,Jatinegara,kolam renang,0
Jakarta Timur,Pulogadung,kolam renang,0
Jakarta Timur,Cakung,kolam renang,0
Jakarta Timur,Matraman,kolam renang,0
Jakarta Timur,Kramat Jati,kolam renang,0
Jakarta Timur,Makasar,kolam renang,0
Jakarta Timur,Pasar Rebo,kolam renang,0
Jakarta Timur,Ciracas,kolam renang,1
Jakarta Timur,Cipayung,kolam renang,0
Jakarta Timur,GOR PKP,kolam renang,0
Jakarta Pusat,Cempaka Putih,kolam renang,0
Jakarta Pusat,Johar Baru,kolam renang,0
Jakarta Pusat,Kemayoran,kolam renang,0
Jakarta Pusat,Gambir,kolam renang,1
Jakarta Pusat,Menteng,kolam renang,0
Jakarta Pusat,Senen,kolam renang,1
Jakarta Pusat,Tanah Abang,kolam renang,0
Jakarta Pusat,Sawah Besar,kolam renang,0
Jakarta Barat,UPT GRJB,kolam renang,1
Jakarta Barat,Grogol Petambutan,kolam renang,0
Jakarta Barat,Palmerah,kolam renang,0
Jakarta Barat,Kebon Jeruk,kolam renang,0
Jakarta Barat,Kembangan,kolam renang,0
Jakarta Barat,Cengkareng,kolam renang,0
Jakarta Barat,Kalideres,kolam renang,0
Jakarta Barat,Tambora,kolam renang,0
Jakarta Barat,Tamansari,kolam renang,0
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,kolam renang,1
Jakarta Utara,Cilincing,kolam renang,0
Jakarta Utara,Koja,kolam renang,2
Jakarta Utara,Kelapa Gading,kolam renang,0
Jakarta Utara,Tanjung Priok,kolam renang,2
Jakarta Utara,Pademangan,kolam renang,0
Jakarta Utara,Penjaringan,kolam renang,0
Jakarta Selatan,Cilandak,Sepakbola,0
Jakarta Selatan,Jagakarsa,Sepakbola,2
Jakarta Selatan,Kebayoran Baru,Sepakbola,2
Jakarta Selatan,Kebayoran Lama,Sepakbola,1
